index,name,active_fla,address_st,activity,activity_l,program__1,mpca_id_li,industrial,shape,geometry
1302,Allina Health Isles Clinic,Y,2800 Hennepin Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MN0000879072,Offices of Physicians,0101000020E61000003B7DF3D1185357C0D278D8FAD8794640,POINT (476462.71281672595 4977654.048467592)
1303,Grace Trinity Church,N,2743 Humboldt Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000141390,Religious Organizations,0101000020E61000003BCE2335235357C08967BFA4E7794640,POINT (476412.88587391214 4977703.943846902)
1304,Former Bennett Lumber,Y,2828 Emerson Ave S,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0002602; MND052734597; TS0013538; VP5011; VP5012; VP5014; VP5015,,0101000020E6100000F650B207E05257C0133DD794B7794640,POINT (476735.71686981566 4977539.824442146)
1305,Track 29 Lofts,Y,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00033682,,0101000020E6100000265305A3925257C05969520ABA794640,POINT (477108.36429737054 4977546.815802326)
1306,Bennett West Parcel,Y,2812 and 2828 Emerson Ave S 1209 28th St W,"Brownfields, Petroleum Brownfield","Brownfields, Petroleum Brownfield",Investigation and Cleanup,PB4013,,0101000020E61000008A1CC7B4DB5257C0F7A45D96C0794640,POINT (476756.64584622474 4977570.279707211)
1307,Sri Lanka Curry House,Y,2821 Hennepin Ave,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0008086; MNR000009647; TS0019285,,0101000020E6100000B0253F3D115357C04A75A675C0794640,POINT (476498.90515177074 4977570.788362797)
1308,Sri Lanka Building,Y,2819-21 Hennepin Ave S,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP7680,,0101000020E61000006E4DBA2D115357C0CD53C2B8C0794640,POINT (476499.20028556575 4977571.675980715)
1309,Bhp Automotive,Y,2827 Dupont Ave S,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MND985700376,,0101000020E6100000B0FB3328BF5257C0DF76FC72C1794640,POINT (476894.1083306266 4977572.703212665)
1310,Bill Schelske Painting & Decorating,N,2817 Emerson Ave S,Multiple Activities,Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MNENF76; TS0018659,Painting and Paper Hanging,0101000020E6100000F9D9C875D35257C0967C47E8C2794640,POINT (476796.3757424655 4977578.000453842)
1311,Girard Avenue South Properties,Y,2809 to 2821 Girard Ave S,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,PB4872; VP33110,,0101000020E610000073DBBE47FD5257C0D11E2FA4C3794640,POINT (476595.0387627271 4977581.222458226)
1312,Rex Oil,Y,2840 Bryant Ave S,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,PB3483; VP12830; VP12831; VP12832; VP12833,,0101000020E6100000EDAB61759A5257C05F6EE646C7794640,POINT (477070.8670185237 4977591.824010883)
1313,Bennett Lumber-Warner,Y,See Location Description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP5010,,0101000020E6100000C51540C6D65257C0B7ED9CE2C8794640,POINT (476780.4924049809 4977598.323840736)
1314,Warner Properties,Y,1101 W 28th,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0019580; PB4696; TS0011538; VP32050,,0101000020E61000001F560B2ECE5257C07F28A0A2CD794640,POINT (476821.9298100308 4977614.276814233)
1315,Girards Terrace,Y,2800 Girard Ave S,Underground Tanks,Underground Tanks,Tanks,TS0001686,,0101000020E61000009E3EA7C5055357C043C9E4D4CE794640,POINT (476554.29355665273 4977619.308181068)
1316,Lh Sowles,N,2813 Bryant Ave S,Underground Tanks,Underground Tanks,Tanks,TS0019632,,0101000020E610000041F8AB5B985257C0F56D1C0CD0794640,POINT (477081.08637019055 4977621.520010698)
1317,Sowles Lh,N,2817 Bryant Ave S,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site",Hazardous Waste; Investigation and Cleanup,LS0009374; MNP200000299,,0101000020E61000001926AEBE955257C08E6E298CD2794640,POINT (477093.69835334946 4977629.950819988)
1318,Emerson Court,N,1115 W 28th,Multiple Activities,Aboveground Tanks; Underground Tanks,Tanks,TS0011539,,0101000020E61000003CC159A5CF5257C0BE4EEACBD2794640,POINT (476814.93502302235 4977631.799602232)
1319,Cycle Goods,N,2801 Hennepin Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985749993,,0101000020E610000034F9C1540E5357C08E548440D3794640,POINT (476513.14101604186 4977634.444923555)
1320,Uptown Minneapolis,N,2751 Hennepin Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNP200000300,,0101000020E6100000D38558FD115357C0352CA116DE794640,POINT (476495.66204651806 4977671.245878554)
1321,Hirshfield's - Uptown,Y,2741 Hennepin Ave,Multiple Activities,"Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MND006195739; TS0002790,Paint and Wallpaper Stores,0101000020E6100000355EBA490C5357C0823CBB7CEB794640,POINT (476523.2795497811 4977716.568247021)
1322,Frattallone's Ace Hardware - Hennepin Ave,Y,2737 Hennepin Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000109348,Hardware Stores,0101000020E610000041F56ADB0B5357C097F6178BF0794640,POINT (476525.417108857 4977733.701251775)
1323,Former BP Gas Station,Y,2700 Hennepin Ave,Multiple Activities,"Aboveground Tanks; Brownfields, Petroleum Brownfield; Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0009687; LS0019120; MND982209082; PB4113; PB4225; TS0002909,,0101000020E6100000F63EFACB135357C0358CCC6D0C7A4640,POINT (476487.53993114585 4977828.376149)
1324,Calhoun Beach Apartments,Y,2915 Dean Pkwy,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0019882; TS0126352,,0101000020E6100000DB3474BB305457C01C2A00A5A5794640,POINT (475114.39394487924 4977485.119057477)
1325,Kraft & Company,Y,2920 Dean Pkwy,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0009565; TS0001944,,0101000020E6100000A230DE454E5457C097EC8E7BA9794640,POINT (474972.2170448629 4977498.685571221)
1326,Calhoun Ambassador Apartments,N,2928 Dean Pkwy,Underground Tanks,Underground Tanks,Tanks,TS0018064,,0101000020E6100000D0888851465457C03D111F33AB794640,POINT (475010.53750516527 4977504.356743994)
1327,Hopkins System Improvements Phase 1,N,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00033260,,0101000020E610000096438B6CE75357C0B6847CD0B3794640,POINT (475467.5316020613 4977531.792538544)
1328,Mcgrann Property,Y,2774 W Lake of the Isles Pkwy,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0005987,,0101000020E6100000B1E31AFA025457C0982721A2E2794640,POINT (475335.48774585046 4977691.02288643)
1329,Simms Residence,Y,2770 Thomas Ave S,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0019408,,0101000020E6100000D62AB0B6185457C0DDDBE33BE7794640,POINT (475230.89734458184 4977707.023861486)
1330,Watson Residence,Y,2801 Benton Blvd,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0021455,,0101000020E6100000C76F23C8355457C04A1132F3117A4640,POINT (475091.5140708008 4977852.378465521)
1331,Burnham Road Bridge Rehabilitation,Y,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00040242,,0101000020E6100000A417B5FB555457C05BECF659657A4640,POINT (474937.59400741983 4978135.722372323)
1332,Romana Asher Residence,N,16 Park Ln,Underground Tanks,Underground Tanks,Tanks,TS0021163,,0101000020E61000001F5E21BD725457C0BFC81528737A4640,POINT (474799.344929994 4978183.067157651)
1333,Kenilworth Channel Naturalization and Shoreline Stabilization Project,Y,,Construction Stormwater,Construction Stormwater,Stormwater,C00061298,,0101000020E6100000D102B4AD665457C00EBDC5C37B7A4640,POINT (474857.5193855751 4978212.021008266)
1334,Amoco Ss #5225,Y,2700 Hennepin Ave,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP29160,,0101000020E6100000DEE522BE135357C02982EE810C7A4640,POINT (476487.8012129994 4977828.641799188)
1335,Hennig Property,Y,2654 Colfax Ave S,Underground Tanks,Underground Tanks,Tanks,TS0130508,,0101000020E6100000E256410CB45257C0945674D2187A4640,POINT (476948.6635483042 4977868.71187531)
1336,Walgreens #16361,Y,2650 Hennepin Ave,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Hazardous Waste, Very small quantity generator; Petroleum Remediation, Leak Site",Hazardous Waste; Investigation and Cleanup,LS0015959; MNS000312336; PB5027; VP34180,Pharmacies and Drug Stores,0101000020E61000008CDC2E8F105357C0753BDABC1A7A4640,POINT (476503.30488326395 4977876.826937033)
1337,Animal Medical Science,Y,2603 Hennepin Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000200576,Veterinary Services,0101000020E61000009D18ED4CFC5257C00A50AE84497A4640,POINT (476601.4189890569 4978035.059544104)
1338,Embers Restaurant - Hennepin,Y,2600 Hennepin Ave,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0015123; VP17120,,0101000020E610000040B8A750025357C0CE1D58E9497A4640,POINT (476572.4683904433 4978036.4985984815)
1339,Jefferson Community School,Y,1200 W 26th St,Multiple Activities,"Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MNR000006478; TS0002330,Educational Services,0101000020E61000004AC91759D75257C00BE99557537A4640,POINT (476779.4377115018 4978067.714761871)
1340,Print Shop The,Y,2544 Hennepin Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000042184,,0101000020E6100000DE3829CCFB5257C07E29F2DA5B7A4640,POINT (476604.068268709 4978097.214624578)
1341,Isles Dental Associates PA,Y,2534 Hennepin Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000010264,Offices of Dentists,0101000020E6100000FCDEA63FFB5257C0243A15BA5C7A4640,POINT (476606.72142508486 4978100.15985532)
1342,Jefferson Community School,Y,1200 West 26th Street,"Superfund, Superfund Program Non-listed Sites","Superfund, Superfund Program Non-listed Sites",Investigation and Cleanup,SR0001458,,0101000020E6100000096D3997E25257C0E202D0285D7A4640,POINT (476725.4343939472 4978101.193017761)
1343,2528 Hennepin,Y,2528 Hennepin Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0021196; TS0130670,,0101000020E610000022AED668FD5257C042E3D3AD687A4640,POINT (476596.46705241303 4978140.716683839)
1344,Lakes Clinic The,Y,2526 Hennepin Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000011221,Health Services,0101000020E6100000A019C407F65257C0E1EB6B5D6A7A4640,POINT (476632.0124804575 4978146.30215616)
1345,Speedway 4024,Y,2501 Hennepin Ave,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0009257; MN0000134056; TS0001639,Gasoline Stations with Convenience Stores,0101000020E6100000BAA9DC9FE65257C0565B56067A7A4640,POINT (476706.37225610716 4978199.1197376)
1346,Chop Room,Y,2508 Hennepin Ave,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Site Assessment",Investigation and Cleanup,BF0001469; SA0000651,,0101000020E61000002571DA7CF15257C0259EE4F57D7A4640,POINT (476654.1242440589 4978212.653053991)
1347,Osman Cleaner,Y,2500 Hennepin Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000025114,Drycleaning and Laundry Services (except Coin-Operated),0101000020E610000087979647ED5257C04A6E5EE6857A4640,POINT (476674.4805999327 4978239.494248115)
1348,Kenwood Chiropractic Arts,Y,1311 W 25th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000009365,Offices of Chiropractors,0101000020E6100000257DB5FEF15257C0BB7F2C44877A4640,POINT (476651.79766622913 4978244.209400491)
1349,Bowman Property,Y,2447 Bryant Ave,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0016758,,0101000020E61000009E16725B915257C0384E65AC917A4640,POINT (477117.14499241975 4978277.808597717)
1350,Nevens Co Cleaners & Launderers,N,2453 Hennepin Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNNONDC492,,0101000020E61000001DA5B7E4DD5257C085419946937A4640,POINT (476748.71610310505 4978284.569945465)
1351,Akins Hennepin Property,Y,2441 Hennepin Ave,Multiple Activities,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Investigation and Cleanup,BF0000011; LS0020079,,0101000020E61000005B75E3FEDF5257C061D01983947A4640,POINT (476738.61115065916 4978288.798045592)
1352,Uptown 7 LLC,Y,2434 Dupont Ave S,Aboveground Tanks,Aboveground Tanks,Tanks,TS0131003,,0101000020E61000009C2EEEB3C85257C07D1ADE49977A4640,POINT (476850.7776844499 4978297.803442116)
1353,Holiday Stationstore #209,Y,2448 Hennepin Ave,Underground Tanks,Underground Tanks,Tanks,TS0002155,,0101000020E6100000BE2F2E55E95257C07B945BA49A7A4640,POINT (476693.7379793211 4978309.742665984)
1354,Eat Street Crossing,Y,2819 Nicollet Ave,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0021687; TS0131130,,0101000020E6100000C0FBF4E9C25157C0744FCBCDBF794640,POINT (478108.53250784695 4977562.853296479)
1355,A Plus Auto Repair,Y,2835 1st Ave S,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000020842,,0101000020E610000070575469B05157C0A33039FFC0794640,POINT (478197.62781692273 4977566.593645671)
1356,HHS Addition,Y,See Location Description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP25160,,0101000020E610000038A0A52BD85157C0EF0390DAC4794640,POINT (478006.2499088289 4977580.32393304)
1357,Hennepin Healthcare System Inc,Y,SW of W28th St and Nicollet Ave S,"Brownfields, Petroleum Brownfield","Brownfields, Petroleum Brownfield",Investigation and Cleanup,PB3773,,0101000020E6100000415B1833D35157C023B5F578C6794640,POINT (478030.20154109265 4977585.72933618)
1358,Proposed HHS Clinic,Y,11 28th St W,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0017509,,0101000020E6100000BD344580D35157C0A08E22C6C6794640,POINT (478028.7536333641 4977586.756316131)
1359,Hennepin County Medical Center Whittier Clinic,Y,2810 Nicollet Ave,Multiple Activities,"Construction Stormwater; Hazardous Waste, Very small quantity generator",Hazardous Waste; Stormwater,C00027243; MNS000162859,Pharmacies and Drug Stores ; Offices of Physicians; All Other Outpatient Care Centers,0101000020E6100000BD76C47CD45157C0D1217024D0794640,POINT (478024.11426510464 4977618.532201061)
1360,Heng 1 Hour Photo Inc,N,2750 Nicollet Ave S Ste 120,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000057695,One-Hour Photofinishing,0101000020E61000002D6BAC0ECA5157C0AC8A15DADE794640,POINT (478074.5013896435 4977668.226482107)
1361,Frenz Brake Service Inc DBA Green Garage,Y,2749 Nicollet Ave,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MND022895288,General Automotive Repair ; Other Automotive Mechanical and Electrical Repair and Maintenance,0101000020E61000008B5EFC23C25157C0889A8D3ADF794640,POINT (478112.6209486617 4977669.373413816)
1362,Frenz Brake Service Inc,N,2749 Nicollet Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0002020; TS0012224,,0101000020E610000055BE6724C25157C06AAFF490DF794640,POINT (478112.6169830459 4977670.517629673)
1363,Simpson Housing,Y,2734 & 2740 1st Ave S,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,BF0000920,,0101000020E61000002AE5B512BA5157C0753DD175E1794640,POINT (478151.48771146435 4977676.805577742)
1364,LOON EXPRESS,Y,2801 Lyndale Ave S,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Very small quantity generator; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0001772; MNS000319824; TS0002001,Gasoline Stations with Convenience Stores,0101000020E61000008A3C49BA665257C05314F93FD1794640,POINT (477320.04829882126 4977624.745038569)
1365,Nelson's Auto Repair,Y,2809 Lyndale Ave S,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MND022897888,General Automotive Repair,0101000020E61000006FCB91DF6C5257C0B4CFBE4DDA794640,POINT (477290.56907466665 4977655.543181118)
